Observation ID,Filter,Magnitude_5.0,Magnitude_Error_5.0,Flux_5.0,Flux_Error_5.0,Magnitude_7.0,Magnitude_Error_7.0,Flux_7.0,Flux_Error_7.0,Magnitude_10.0,Magnitude_Error_10.0,Flux_10.0,Flux_Error_10.0,Magnitude_15.0,Magnitude_Error_15.0,Flux_15.0,Flux_Error_15.0,Magnitude_20.0,Magnitude_Error_20.0,Flux_20.0,Flux_Error_20.0,Magnitude_25.0,Magnitude_Error_25.0,Flux_25.0,Flux_Error_25.0,Magnitude_30.0,Magnitude_Error_30.0,Flux_30.0,Flux_Error_30.0,Magnitude_35.0,Magnitude_Error_35.0,Flux_35.0,Flux_Error_35.0
00096115002,uw1,17.000797,0.044396993,6.314495e-16,2.5995353e-17,16.803415,0.04323844,7.5751146e-16,3.0381206e-17,16.587734,0.043221332,9.231201e-16,3.692388e-17,16.340506,0.04488767,1.1593896e-15,4.8181464e-17,16.198784,0.04877445,1.3218077e-15,5.979043e-17,16.096678,0.053537335,1.4525609e-15,7.2147765e-17,16.03022,0.059543416,1.5444955e-15,8.532485e-17,15.962911,0.06516019,1.6457668e-15,9.9587464e-17
00096115003,uw2,17.44881,0.058202494,5.610329e-16,3.0115158e-17,17.30012,0.057172727,6.433556e-16,3.389143e-17,17.121902,0.05704393,7.5803154e-16,3.9816574e-17,16.922823,0.059893142,9.112098e-16,5.008793e-17,16.772026,0.064001076,1.0475579e-15,6.138503e-17,16.68223,0.07099383,1.1418729e-15,7.3494375e-17,16.612518,0.078906305,1.2197792e-15,8.687614e-17,16.556398,0.088496506,1.2936624e-15,1.01667935e-16
00096115003,uuu,16.394592,0.024328893,9.768262e-16,2.1888466e-17,16.11192,0.022516558,1.2673214e-15,2.6282365e-17,15.825356,0.021108907,1.6501069e-15,3.2081416e-17,15.562273,0.020488406,2.1025452e-15,3.967612e-17,15.398092,0.01979105,2.4457814e-15,4.4582266e-17,15.270006,0.017894488,2.752022e-15,4.535726e-17,15.200052,0.014491546,2.9351722e-15,3.9176352e-17,15.100891,0.036357857,3.215865e-15,1.076891e-16
00096116001,uw2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096116002,um2,13.855243,0.011946743,1.3321521e-14,1.4658146e-16,13.782951,0.01151261,1.4238705e-14,1.5098018e-16,13.732092,0.011233799,1.4921566e-14,1.5438915e-16,13.673452,0.010954284,1.5749622e-14,1.5890218e-16,13.633513,0.01081835,1.6339764e-14,1.6281053e-16,13.605498,0.010789134,1.6766858e-14,1.6661494e-16,13.593936,0.010906169,1.6946365e-14,1.7022545e-16,13.583835,0.01108671,1.710477e-14,1.7466085e-16
00096117001,um2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096117002,uw1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096117004,um2,14.568409,0.016563118,6.9069718e-15,1.05367206e-16,14.501747,0.016080929,7.344332e-15,1.08777506e-16,14.441239,0.015714716,7.765247e-15,1.1239255e-16,14.364399,0.015373158,8.334727e-15,1.1801308e-16,14.317733,0.015367087,8.700777e-15,1.231474e-16,14.2981825,0.015700523,8.858867e-15,1.2810555e-16,14.298405,0.016361877,8.857056e-15,1.3347447e-16,14.293114,0.017143779,8.9003215e-15,1.4053611e-16
00096117005,uw1,13.766833,0.008772757,1.2400678e-14,1.0019758e-16,13.707663,0.0084943315,1.3095254e-14,1.0245161e-16,13.647605,0.0082386825,1.38400245e-14,1.0501959e-16,13.562252,0.007913067,1.4971946e-14,1.09118596e-16,13.497298,0.007717199,1.5894963e-14,1.1297826e-16,13.4571295,0.0076810108,1.649404e-14,1.1668664e-16,13.424142,0.007718917,1.7002865e-14,1.2087991e-16,13.388583,0.007777682,1.7568939e-14,1.2585527e-16
00096118001,um2,13.777111,0.032587696,1.4315506e-14,4.2967096e-16,13.668277,0.03078147,1.5824873e-14,4.486475e-16,13.616075,0.030011058,1.660432e-14,4.589634e-16,13.552606,0.029198604,1.7603896e-14,4.7341995e-16,13.510588,0.02884235,1.8298517e-14,4.860962e-16,13.496648,0.029088285,1.8534971e-14,4.9657603e-16,13.48713,0.029587192,1.8698168e-14,5.0954024e-16,13.480578,0.030360222,1.8811338e-14,5.260176e-16
00096118002,uuu,13.809168,0.014434953,1.0567868e-14,1.4050068e-16,13.752704,0.013760431,1.1131993e-14,1.4108494e-16,13.6919,0.013010563,1.1773193e-14,1.4108018e-16,13.60901,0.011864661,1.27072145e-14,1.3886135e-16,13.524449,0.0104353875,1.37364544e-14,1.3202583e-16,13.457103,0.008855363,1.4615493e-14,1.1920528e-16,13.416843,0.007146926,1.5167607e-14,9.984172e-17,13.363665,0.020436397,1.5929e-14,2.9982547e-16
00096118003,um2,13.720591,0.013405074,1.5084234e-14,1.8657795e-16,13.66489,0.01302124,1.5878476e-14,1.9079056e-16,13.620898,0.012739195,1.6534437e-14,1.9441349e-16,13.571297,0.012463286,1.7307104e-14,1.9910061e-16,13.536028,0.012322526,1.7878257e-14,2.0329934e-16,13.5141735,0.012308586,1.8241949e-14,2.07356e-16,13.507172,0.01246305,1.8359793e-14,2.1127044e-16,13.501322,0.012694895,1.8458942e-14,2.1634762e-16
