Name,Target ID,Observation ID,Filter,Exposure Time (s),Date/Time of Observation,RA (J2000),Dec (J2000),RA (deg),Dec (deg),2MASS RA (deg),2MASS Dec (deg),Redshift
NGC1365,96123,00096123003,UVM2,688.2,2021-04-22T06:35:16,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
NGC1365,96123,00096123004,U,812.9,2021-04-24T19:02:10,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
NGC1365,96123,00096123004,UVW1,211.3,2021-04-23T01:38:21,3:33:36.1097,-36:08:25.424,53.4005,-36.1404,53.4019,-36.1407,0.005457
NGC3783,96124,00096124001,U,1029.0,2021-07-21T15:01:30,11:39:01.7520,-37:44:19.320,174.7573,-37.7387,174.7572,-37.7385,0.00973
NGC3783,96124,00096124003,UVM2,632.3,2021-08-12T08:15:13,11:39:01.7520,-37:44:19.320,174.7573,-37.7387,174.7572,-37.7385,0.00973
NGC3783,96124,00096124004,UVW1,291.9,2021-08-13T04:48:59,11:39:01.7520,-37:44:19.320,174.7573,-37.7387,174.7572,-37.7385,0.00973
NGC4051,96125,00096125001,UVM2,1283.1,2021-10-03T18:22:12,12:03:09.5969,+44:31:52.695,180.79,44.5313,180.7904,44.5313,0.002336
NGC4051,96125,00096125002,UVW1,575.1,2022-03-29T16:18:34,12:03:09.6130,+44:31:53.061,180.7901,44.5314,180.7904,44.5313,0.002336
NGC4151,96126,00096126001,UVM2,202.5,2021-04-22T10:37:30,12:10:32.5669,+39:24:20.853,182.6357,39.4058,182.6361,39.4058,0.003326
NGC4151,96126,00096126002,UVW2,149.1,2021-04-29T20:47:24,12:10:32.5669,+39:24:20.853,182.6357,39.4058,182.6361,39.4058,0.003326
NGC4748,96127,00096127002,UVW1,333.7,2021-08-05T01:11:16,12:52:12.4855,-13:24:53.941,193.052,-13.415,193.0519,-13.4147,0.01463
NGC4748,96127,00096127003,UVW2,939.8,2021-08-07T08:36:01,12:52:12.4855,-13:24:53.941,193.052,-13.415,193.0519,-13.4147,0.01463
NGC4748,96127,00096127004,UVW2,422.7,2021-08-11T11:21:46,12:52:12.4855,-13:24:53.941,193.052,-13.415,193.0519,-13.4147,0.01463
NGC4748,96127,00096127005,U,601.3,2021-08-14T20:36:44,12:52:12.4855,-13:24:53.941,193.052,-13.415,193.0519,-13.4147,0.01463
NGC4748,96127,00096127006,UVW1,595.9,2021-08-17T10:49:50,12:52:12.4518,-13:24:53.600,193.0519,-13.4149,193.0519,-13.4147,0.01463
NGC7469,96128,00096128001,U,993.7,2021-04-28T13:29:06,23:03:15.5966,+8:52:26.538,345.815,8.874,345.8153,8.8737,0.016268
NGC7469,96128,00096128002,UVW2,619.4,2021-04-29T21:23:26,23:03:15.5966,+8:52:26.538,345.815,8.874,345.8153,8.8737,0.016268
PG0804+761,96129,00096129001,UVW1,338.4,2021-06-10T08:16:12,8:10:58.7066,+76:02:43.033,122.7446,76.0453,122.7444,76.0451,0.1
PG0804+761,96129,00096129002,UVW1,470.9,2021-06-14T05:54:57,8:10:58.7066,+76:02:43.033,122.7446,76.0453,122.7444,76.0451,0.1
PG0804+761,96129,00096129003,UVW2,362.1,2021-06-16T02:31:47,8:10:58.7066,+76:02:43.033,122.7446,76.0453,122.7444,76.0451,0.1
PG0804+761,96129,00096129004,UVM2,562.9,2021-06-17T07:10:24,8:10:58.7066,+76:02:43.033,122.7446,76.0453,122.7444,76.0451,0.1
PG0804+761,96129,00096129005,UVW1,443.4,2021-06-18T02:16:25,8:10:58.7066,+76:02:43.033,122.7446,76.0453,122.7444,76.0451,0.1
PG1426+015,96130,00096130001,UVW2,217.0,2021-06-08T07:29:15,14:29:06.5717,+1:17:06.760,217.2774,1.2852,217.2773,1.2851,0.08657
PG1426+015,96130,00096130002,UVW2,733.4,2021-08-31T09:20:30,14:29:06.5717,+1:17:06.760,217.2774,1.2852,217.2773,1.2851,0.08657
PG1426+015,96130,00096130003,UVW1,723.2,2021-12-11T19:20:41,14:29:06.5717,+1:17:06.760,217.2774,1.2852,217.2773,1.2851,0.08657
PG1426+015,96130,00096130005,UVW1,803.0,2022-03-13T00:58:20,14:29:06.5717,+1:17:06.760,217.2774,1.2852,217.2773,1.2851,0.08657
PG1426+015,96130,00096130005,U,215.2,2022-03-14T22:59:17,14:29:06.5717,+1:17:06.760,217.2774,1.2852,217.2773,1.2851,0.08657
RBS1124,96131,00096131001,UVW2,523.0,2021-04-29T06:07:04,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
RBS1124,96131,00096131002,U,1091.0,2021-09-23T00:19:27,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
RBS1124,96131,00096131003,UVW2,1135.8,2021-09-24T11:22:41,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
RBS1124,96131,00096131004,U,618.8,2021-11-18T02:11:27,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
RBS1124,96131,00096131005,UVM2,1219.9,2022-02-24T08:48:16,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
